iso3,year,GDP
AFE,2025,1358694050872.54
AFE,2024,1252564134751.16
AFE,2023,1179121535535.41
AFE,2022,1226461319482.05
AFE,2021,1113059797223.9
AFE,2020,938546103425.609
AFE,2019,1019354194063.69
AFE,2018,1021971569379.4
AFE,2017,979240640383.155
AFE,2016,832661416653.091
AFE,2015,909905339457.167
AFE,2014,998727180531.477
AFE,2013,981203198866.08
AFE,2012,969171197494.148
AFE,2011,959740239662.05
AFE,2010,863749634744.9
AFE,2009,726850536901.436
AFE,2008,726711167541.424
AFE,2007,674947497627.662
AFE,2006,587454940473.207
AFE,2005,521562847473.691
AFE,2004,445975553009.759
AFE,2003,358116678901.082
AFE,2002,269746460052.503
AFE,2001,260850392951.828
AFE,2000,287042463739.689
AFE,1999,265321450545.646
AFE,1998,268728576302.725
AFE,1997,288271180913.283
AFE,1996,273428068927.083
AFE,1995,273327490479.513
AFE,1994,243477941444.502
AFE,1993,239981577262.429
AFE,1992,241188710607.463
AFE,1991,276918965237.869
AFE,1990,256383478165.175
AFE,1989,220613759094.92
AFE,1988,207369216353.86
AFE,1987,190175547049.302
AFE,1986,160553783155.674
AFE,1985,149335403052.171
AFE,1984,170038799701.363
AFE,1983,185755813130.223
AFE,1982,178355845274.148
AFE,1981,185109278385.547
AFE,1980,178472593462.541
AFE,1979,142100196986.403
AFE,1978,124083628147.889
AFE,1977,109208426467.106
AFE,1976,96006577413.0117
AFE,1975,95295913613.5341
AFE,1974,89536125811.6756
AFE,1973,73083720134.3844
AFE,1972,56726152192.5136
AFE,1971,52188772290.3067
AFE,1970,47593987273.0208
AFE,1969,47048601721.6198
AFE,1968,41742071179.4675
AFE,1967,38444227752.5739
AFE,1966,36927311239.4786
AFE,1965,33806233152.8526
AFE,1964,30279603755.3047
AFE,1963,31769188044.0148
AFE,1962,27073279052.5749
AFE,1961,24958927693.8095
AFE,1960,24205729121.3343
AFW,2025,852526995230.254
AFW,2024,737366967283.718
AFW,2023,938480674635.085
AFW,2022,1063748247138.21
AFW,2021,1026670180885.97
AFW,2020,963688197941.774
AFW,2019,1026527768676.04
AFW,2018,777805844264.864
AFW,2017,694206358825.098
AFW,2016,699979485002.844
AFW,2015,778037497377.313
AFW,2014,904094866776.536
AFW,2013,844187976557.843
AFW,2012,748030003656.774
AFW,2011,691133400013.242
AFW,2010,605794323433.602
AFW,2009,515037106035.585
AFW,2008,574259808704.062
AFW,2007,470947616490.786
AFW,2006,402077365740.543
AFW,2005,316515667947.119
AFW,2004,257939299771.648
AFW,2003,208646527354.852
AFW,2002,180129182230.86
AFW,2001,150714426912.027
AFW,2000,142700161610.021
AFW,1999,140119071338.221
AFW,1998,297126502718.93
AFW,1997,276460023661.688
AFW,1996,263563556144.267
AFW,1995,207843864308.684
AFW,1994,135350756019.472
AFW,1993,130547124413.507
AFW,1992,125449432677.509
AFW,1991,130794315519.435
AFW,1990,124277825786.697
AFW,1989,104577372052.932
AFW,1988,111770322169.923
AFW,1987,112641148828.574
AFW,1986,109517776160.1
AFW,1985,138005066699.39
AFW,1984,131373058519.308
AFW,1983,151421439334.1
AFW,1982,196264853551.918
AFW,1981,217606540487.256
AFW,1980,121445961252.94
AFW,1979,96681064864.1808
AFW,1978,78778080489.5676
AFW,1977,71789497552.1911
AFW,1976,68385552348.1688
AFW,1975,57280116275.6847
AFW,1974,49687223643.2392
AFW,1973,36890633234.1126
AFW,1972,29489425515.7538
AFW,1971,24496786001.8079
AFW,1970,26696924213.8055
AFW,1969,19301191937.1478
