iso3,year,asylum_seekers
AFG,2025,382
AFG,2024,370
AFG,2023,250
AFG,2022,218
AFG,2021,251
AFG,2020,167
AFG,2019,247
AFG,2018,281
AFG,2017,215
AFG,2016,123
AFG,2015,78
AFG,2014,59
AFG,2013,61
AFG,2012,49
AFG,2011,52
AFG,2010,30
AFG,2009,14
AFG,2008,10
AFG,2007,0
AFG,2006,5
AFG,2005,12
AFG,2004,28
AFG,2003,71
AFG,2002,18
AFG,2001,0
AFG,2000,0
ALB,2025,11
ALB,2024,0
ALB,2023,8
ALB,2022,5
ALB,2021,6
ALB,2020,0
ALB,2019,5
ALB,2018,159
ALB,2017,32
ALB,2016,2750
ALB,2015,830
ALB,2014,482
ALB,2013,228
ALB,2012,28
ALB,2011,26
ALB,2010,20
ALB,2009,19
ALB,2008,20
ALB,2007,16
ALB,2006,27
ALB,2005,32
ALB,2004,30
ALB,2003,86
ALB,2002,46
ALB,2001,71
ALB,2000,5
DZA,2025,3690
DZA,2024,4838
DZA,2023,3601
DZA,2022,3646
DZA,2021,2130
DZA,2020,2124
DZA,2019,1647
DZA,2018,8910
DZA,2017,6353
DZA,2016,5700
DZA,2015,6573
DZA,2014,4864
DZA,2013,1795
DZA,2012,1722
DZA,2011,805
DZA,2010,300
DZA,2009,157
DZA,2008,899
DZA,2007,1587
DZA,2006,935
DZA,2005,299
DZA,2004,0
DZA,2003,0
DZA,2002,0
DZA,2001,110
DZA,2000,309
AGO,2025,30261
AGO,2024,30267
AGO,2023,30268
AGO,2022,30268
AGO,2021,30279
AGO,2020,30278
AGO,2019,30178
AGO,2018,30128
AGO,2017,30131
AGO,2016,30131
AGO,2015,30131
AGO,2014,30200
AGO,2013,20031
AGO,2012,20321
AGO,2011,3154
AGO,2010,4228
AGO,2009,4228
AGO,2008,3179
AGO,2007,2918
AGO,2006,1586
AGO,2005,878
AGO,2004,920
AGO,2003,999
AGO,2002,925
AGO,2001,904
AGO,2000,880
ATG,2024,5
ATG,2022,0
ATG,2016,0
ATG,2015,0
ARG,2025,3941
ARG,2024,4766
ARG,2023,7129
ARG,2022,11100
ARG,2021,11026
ARG,2020,9176
ARG,2019,7981
ARG,2018,6102
ARG,2017,4111
ARG,2016,3917
ARG,2015,1062
ARG,2014,846
ARG,2013,899
ARG,2012,1901
ARG,2011,1196
ARG,2010,916
ARG,2009,742
ARG,2008,710
ARG,2007,1080
ARG,2006,854
ARG,2005,804
ARG,2004,973
ARG,2003,1188
ARG,2002,1535
ARG,2001,1544
ARG,2000,1274
ARM,2025,998
ARM,2024,975
ARM,2023,615
ARM,2022,580
ARM,2021,181
ARM,2020,136
ARM,2019,158
ARM,2018,105
ARM,2017,62
ARM,2016,73
ARM,2015,51
ARM,2014,57
ARM,2013,70
ARM,2012,378
ARM,2011,17
ARM,2010,14
ARM,2009,38
ARM,2008,170
ARM,2007,97
ARM,2006,75
ARM,2005,64
ARM,2004,64
ARM,2003,30
ARM,2002,0
ARM,2001,0
ABW,2025,0
ABW,2024,0
ABW,2023,0
ABW,2022,0
ABW,2021,0
ABW,2020,0
ABW,2019,406
ABW,2018,407
ABW,2017,147
ABW,2016,5
ABW,2014,5
ABW,2013,5
ABW,2012,5
ABW,2011,5
AUS,2025,82925
AUS,2024,91278
AUS,2023,82625
AUS,2022,90549
AUS,2021,82810
AUS,2020,80801
AUS,2019,77362
AUS,2018,60645
AUS,2017,48029
AUS,2016,29633
AUS,2015,20752
AUS,2014,21462
AUS,2013,13509
AUS,2012,10991
AUS,2011,5210
AUS,2010,3714
AUS,2009,2306
AUS,2008,2140
AUS,2007,1459
AUS,2006,1366
AUS,2005,1756
AUS,2004,5017
AUS,2003,2978
AUS,2002,7271
AUS,2001,11558
AUS,2000,10877
AUT,2025,22014
AUT,2024,28883
AUT,2023,38039
AUT,2022,53087
AUT,2021,27847
AUT,2020,20710
AUT,2019,26696
AUT,2018,37347
AUT,2017,56279
AUT,2016,76382
AUT,2015,80060
AUT,2014,22745
AUT,2013,22731
AUT,2012,22418
AUT,2011,24464
AUT,2010,25602
AUT,2009,32133
AUT,2008,36687
AUT,2007,38424
AUT,2006,42385
AUT,2005,40710
AUT,2004,38262
AUT,2003,33564
AUT,2002,29494
AUT,2001,15187
AUT,2000,9945
AZE,2025,199
AZE,2024,267
AZE,2023,168
AZE,2022,152
AZE,2021,34
AZE,2020,48
AZE,2019,181
AZE,2018,209
AZE,2017,124
AZE,2016,255
AZE,2015,215
AZE,2014,398
AZE,2013,268
AZE,2012,137
AZE,2011,42
AZE,2010,15
AZE,2009,47
AZE,2008,40
AZE,2007,69
AZE,2006,83
AZE,2005,101
AZE,2004,1228
AZE,2003,8796
AZE,2002,8116
AZE,2001,6546
AZE,2000,3378
BHS,2025,0
BHS,2024,20
BHS,2023,31
BHS,2022,31
BHS,2021,13
BHS,2020,13
BHS,2019,13
BHS,2018,24
BHS,2017,15
BHS,2016,17
BHS,2015,20
BHS,2014,19
BHS,2013,13
BHS,2012,13
BHS,2011,13
BHS,2010,8
BHS,2000,0
BHR,2025,122
BHR,2024,121
BHR,2023,122
BHR,2022,122
BHR,2021,190
BHR,2020,104
BHR,2019,58
BHR,2018,58
BHR,2017,111
BHR,2016,111
BHR,2015,113
BHR,2014,44
BHR,2013,52
BHR,2012,46
BHR,2011,156
BHR,2010,66
BHR,2009,13
BHR,2008,48
BHR,2007,33
BHR,2006,15
BHR,2005,14
BHR,2004,5
BGD,2025,67
BGD,2024,35
BGD,2023,0
BGD,2022,24
BGD,2021,48
BGD,2020,18
BGD,2019,34
BGD,2018,39
BGD,2017,115
BGD,2016,0
BGD,2015,0
BGD,2014,14
BGD,2013,8
BGD,2012,0
BGD,2011,0
BGD,2010,0
BGD,2009,0
BGD,2008,0
BGD,2007,50
BGD,2006,78
BGD,2005,57
BGD,2004,9
BGD,2003,8
BGD,2002,21
BGD,2001,20
BGD,2000,0
BRB,2025,8
BRB,2024,8
BRB,2023,10
BRB,2021,10
BRB,2020,5
BRB,2019,10
BRB,2018,5
BLR,2025,1470
BLR,2024,1224
BLR,2023,405
BLR,2022,639
BLR,2021,114
BLR,2020,143
BLR,2019,131
BLR,2018,184
BLR,2017,273
BLR,2016,228
BLR,2015,273
BLR,2014,254
BLR,2013,84
BLR,2012,56
BLR,2011,46
BLR,2010,62
BLR,2009,84
BLR,2008,54
BLR,2007,10
BLR,2006,24
BLR,2005,50
BLR,2004,65
BLR,2003,318
BLR,2002,333
BLR,2001,354
BLR,2000,410
BEL,2025,58725
BEL,2024,53138
BEL,2023,44600
BEL,2022,41810
BEL,2021,28955
BEL,2020,29305
BEL,2019,10862
BEL,2018,19550
BEL,2017,18760
BEL,2016,24098
BEL,2015,35996
BEL,2014,9943
BEL,2013,11479
BEL,2012,15023
BEL,2011,19006
BEL,2010,18288
BEL,2009,18233
BEL,2008,14261
BEL,2007,15247
BEL,2006,15715
BEL,2005,18895
BEL,2004,22857
BEL,2003,22582
BEL,2002,20027
BEL,2001,664
BEL,2000,46240
BLZ,2025,1836
BLZ,2024,2001
BLZ,2023,1973
BLZ,2022,1982
BLZ,2021,2015
BLZ,2020,2249
BLZ,2019,2144
BLZ,2018,3305
BLZ,2017,3120
BLZ,2016,2427
BLZ,2015,716
BLZ,2014,114
BLZ,2013,62
BLZ,2012,75
BLZ,2011,56
BLZ,2010,31
BLZ,2009,25
BLZ,2008,10
BLZ,2007,0
BLZ,2006,0
BLZ,2005,14
BLZ,2004,26
BLZ,2003,5
BLZ,2002,8
BLZ,2001,20
BLZ,2000,32
BEN,2025,11947
BEN,2024,6993
BEN,2023,10133
BEN,2022,1460
BEN,2021,506
BEN,2020,464
BEN,2019,373
BEN,2018,308
BEN,2017,262
BEN,2016,224
BEN,2015,176
BEN,2014,68
BEN,2013,106
BEN,2012,133
BEN,2011,354
BEN,2010,93
BEN,2009,122
BEN,2008,197
BEN,2007,527
BEN,2006,1338
BEN,2005,1682
BEN,2004,1040
BEN,2003,804
BEN,2002,311
BEN,2001,208
