iso3,year,intentional_homicides
AFG,2021,4.0324584656778
AFG,2020,6.57810893906391
AFG,2019,7.16396695794585
AFG,2018,6.73324816708819
AFG,2017,6.79202120758186
AFG,2016,6.6799974594108
AFG,2015,9.95218590955213
AFG,2012,6.37433845786952
AFG,2011,4.19453539608613
AFG,2010,3.47545228477135
AFG,2009,4.05954969836362
ALB,2023,1.38708340817063
ALB,2022,1.6975478920699
ALB,2021,2.31608568885389
ALB,2020,2.12398982086583
ALB,2019,2.25302550996799
ALB,2018,2.28039848927055
ALB,2017,2.00121280396654
ALB,2016,2.72614352662554
ALB,2015,2.20793808941597
ALB,2014,4.6147231364138
ALB,2013,4.26472598705621
ALB,2012,5.39518158737926
ALB,2011,4.87720435898422
ALB,2010,4.06320641959299
ALB,2009,2.87018701294404
ALB,2008,3.10732240524797
ALB,2007,3.47350066343863
ALB,2006,3.11392865202781
ALB,2005,5.00624317533652
ALB,2004,4.22763729131083
ALB,2003,5.32377619293878
ALB,2002,6.89194828996724
ALB,2001,6.98868960005159
ALB,2000,4.13752044085122
ALB,1999,16.6844618578932
ALB,1998,20.559899007284
ALB,1997,41.3046638507867
ALB,1996,8.38037537919658
ALB,1995,7.94827910550865
ALB,1994,3.42569506817668
ALB,1993,5.82703558411989
ALB,1992,3.96039483308611
DZA,2023,1.16107238811947
DZA,2022,1.74812144835182
DZA,2021,1.55268752449532
DZA,2020,1.48494311952627
DZA,2019,1.19876531330297
DZA,2018,1.33631227453406
DZA,2017,1.25691727270348
DZA,2016,1.32678196793638
DZA,2015,1.36433389808261
DZA,2014,1.47174990719622
DZA,2013,1.24953885833513
DZA,2012,1.38925169697228
DZA,2011,0.758738181010027
DZA,2010,0.701885561676529
DZA,2009,0.780491763346444
DZA,2008,0.94206958499336
DZA,2007,0.792642962956723
DZA,2006,0.927922269616976
ASM,2018,25.5360106858383
ASM,2017,13.5695731399992
ASM,2015,7.56458262415371
ASM,2014,5.61104253170239
ASM,2013,5.55493834018442
ASM,2012,3.67046559856118
ASM,2011,9.10821469883688
ASM,2010,9.05329675801443
ASM,2009,3.6017864860971
ASM,2008,5.37364763201261
ASM,2007,1.78211822572309
ASM,2006,7.09540661114511
ASM,2005,10.5975237119593
ASM,2004,7.04002252807209
ASM,2003,5.26588322026312
ASM,2002,12.2674658044391
ASM,2001,1.75274084850184
AND,2020,2.58464719565779
AND,2011,1.28562796497949
AND,2008,1.19768367976334
AND,2004,1.34544231416078
AGO,2016,4.09826656345614
AGO,2015,4.45347324389499
AGO,2012,4.83370121625773
AGO,2011,4.35620071002768
ATG,2023,10.7163332993983
ATG,2022,10.771219302025
ATG,2021,17.3255801362224
ATG,2020,9.79901138862879
ATG,2019,3.28358699042834
ATG,2018,13.1975452565823
ATG,2017,22.1072644470973
ATG,2012,11.4600045840018
ATG,2010,7.03230759313412
ATG,2009,19.0084706497333
ATG,2008,19.2975685063682
ATG,2007,20.8068148438265
ATG,2006,13.6469654111458
ATG,2005,3.76834714013855
ATG,2004,5.08133308773557
ATG,2003,6.41980381079554
ATG,2002,6.49080901443556
ATG,2001,9.20217171252416
ATG,2000,6.67449807774455
ATG,1997,1.40740010977721
ATG,1996,4.3096327474627
ATG,1995,10.2656606319247
ATG,1994,7.48027078580245
ATG,1993,6.0987695732386
ATG,1992,3.10537307175741
ATG,1991,4.7328316531781
ATG,1990,1.58562786899543
ARG,2023,4.49291137824536
ARG,2022,4.31202462020709
ARG,2021,4.62126366336244
ARG,2020,5.35272149985868
ARG,2019,5.13191495105041
ARG,2018,5.33872203870925
ARG,2017,5.23155985787317
ARG,2016,5.97945616037571
ARG,2015,6.52528743235621
ARG,2014,7.50277667235654
ARG,2013,7.2142387373598
ARG,2012,6.28057846262278
ARG,2011,6.01715853502966
ARG,2010,5.7739778082346
ARG,2009,6.46679948327286
ARG,2008,5.86530605419315
ARG,2007,5.34525993519266
ARG,2006,5.32783270151026
ARG,2005,5.6047423259877
ARG,2004,6.02330247756233
ARG,2003,7.72167974407433
ARG,2002,9.38748649102565
ARG,2001,8.31631763979875
ARM,2023,2.20833575400906
ARM,2022,2.74222289100063
ARM,2021,3.13550776151398
ARM,2020,2.59435451162573
ARM,2019,2.51379877522903
ARM,2018,1.71823401969337
ARM,2017,2.40140228170953
ARM,2016,2.98068464955971
ARM,2015,2.56745781452856
ARM,2014,2.46370989542236
ARM,2013,2.15567534571216
ARM,2012,2.22410225395655
ARM,2011,2.42878652522919
ARM,2010,1.91055986909936
ARM,2009,3.29314060878627
ARM,2008,3.27703809810168
ARM,2007,2.58839277280399
ARM,2006,2.64180737077633
ARM,2005,1.92924911296119
ARM,2004,2.74603388341134
ARM,2002,2.25812680200155
ARM,2001,2.85311376029208
ARM,2000,2.91141445632454
ARM,1999,2.84154951589468
ARM,1998,2.89864016374512
ARM,1997,3.08044046602136
ARM,1996,3.47695018399624
ARM,1995,3.50709423184281
ARM,1994,4.66621688694975
ARM,1993,7.76061963335416
ARM,1992,8.53896490667401
ARM,1991,5.14668537551365
ARM,1990,5.01108138714052
ABW,2014,1.93475053810249
ABW,2013,5.85037661799478
ABW,2012,3.93068241560088
ABW,2011,1.98057060239055
ABW,2010,3.99546514705809
ABW,2009,4.03936359826509
ABW,2008,5.1122392118972
ABW,2007,3.10600805491422
ABW,2006,5.24150221453469
ABW,2005,6.36739891754218
ABW,2004,2.14563497385007
ABW,2003,4.33322500270827
ABW,2002,5.47174663624376
ABW,2001,4.42943358618017
ABW,1999,2.31290078233869
ABW,1995,7.90326404805185
AUS,2023,0.854406035826682
AUS,2022,0.839663105025691
AUS,2021,0.743554074825619
AUS,2020,0.858459424254959
AUS,2019,0.882951478402183
AUS,2018,0.879787384450029
AUS,2017,0.841048385412525
AUS,2016,0.933005940041915
AUS,2015,0.985468432815397
AUS,2014,1.02985300162206
AUS,2013,1.05438607284246
AUS,2012,1.06333429077178
AUS,2011,1.10321388892905
AUS,2010,1.04328595693519
AUS,2009,1.20736293068024
AUS,2008,1.2213046917262
AUS,2007,1.21691956283382
AUS,2006,1.36470308152627
AUS,2005,1.27620846840694
AUS,2004,1.31193813318786
AUS,2003,1.52375535865531
AUS,2002,1.86778958584828
