iso3,year,life_expectancy
AFG,2024,66.289
AFG,2023,66.035
AFG,2022,65.617
AFG,2021,60.417
AFG,2020,61.454
AFG,2019,62.941
AFG,2018,62.443
AFG,2017,62.406
AFG,2016,62.646
AFG,2015,62.27
AFG,2014,62.26
AFG,2013,62.188
AFG,2012,61.735
AFG,2011,61.25
AFG,2010,60.702
AFG,2009,60.248
AFG,2008,59.708
AFG,2007,58.956
AFG,2006,58.553
AFG,2005,58.247
AFG,2004,57.81
AFG,2003,57.171
AFG,2002,56.225
AFG,2001,55.511
AFG,2000,55.005
AFG,1999,54.532
AFG,1998,52.487
AFG,1997,53.212
AFG,1996,52.83
AFG,1995,52.103
AFG,1994,50.969
AFG,1993,51.021
AFG,1992,46.569
AFG,1991,45.521
AFG,1990,45.118
AFG,1989,44.496
AFG,1988,43.238
AFG,1987,38.831
AFG,1986,38.4
AFG,1985,32.132
AFG,1984,31.473
AFG,1983,36.517
AFG,1982,36.058
AFG,1981,39.406
AFG,1980,39.258
AFG,1979,38.844
AFG,1978,40.086
AFG,1977,41.082
AFG,1976,40.518
AFG,1975,39.994
AFG,1974,39.469
AFG,1973,38.951
AFG,1972,38.423
AFG,1971,37.932
AFG,1970,37.46
AFG,1969,36.979
AFG,1968,36.51
AFG,1967,36.042
AFG,1966,35.583
AFG,1965,35.124
AFG,1964,34.673
AFG,1963,34.201
AFG,1962,33.757
AFG,1961,33.291
AFG,1960,32.799
ALB,2024,79.776
ALB,2023,79.602
ALB,2022,78.769
ALB,2021,76.844
ALB,2020,77.824
ALB,2019,79.467
ALB,2018,79.238
ALB,2017,78.9
ALB,2016,78.643
ALB,2015,78.358
ALB,2014,78.029
ALB,2013,77.995
ALB,2012,78.084
ALB,2011,78.303
ALB,2010,78.414
ALB,2009,78.509
ALB,2008,78.248
ALB,2007,77.691
ALB,2006,76.994
ALB,2005,76.427
ALB,2004,75.951
ALB,2003,75.557
ALB,2002,75.299
ALB,2001,75.083
ALB,2000,74.826
ALB,1999,74.568
ALB,1998,74.357
ALB,1997,73.383
ALB,1996,74.113
ALB,1995,74.022
ALB,1994,73.837
ALB,1993,73.638
ALB,1992,73.303
ALB,1991,73.001
ALB,1990,72.71
ALB,1989,72.457
ALB,1988,72.217
ALB,1987,71.981
ALB,1986,71.665
ALB,1985,71.282
ALB,1984,70.984
ALB,1983,70.705
ALB,1982,70.425
ALB,1981,70.145
ALB,1980,69.903
ALB,1979,69.617
ALB,1978,69.367
ALB,1977,68.992
ALB,1976,68.57
ALB,1975,68.12
ALB,1974,67.633
ALB,1973,67.107
ALB,1972,66.526
ALB,1971,65.896
ALB,1970,65.234
ALB,1969,64.538
ALB,1968,63.788
ALB,1967,62.976
ALB,1966,62.149
ALB,1965,61.273
ALB,1964,60.404
ALB,1963,59.479
ALB,1962,58.494
ALB,1961,57.488
ALB,1960,56.413
DZA,2024,76.475
DZA,2023,76.261
DZA,2022,76.129
DZA,2021,75.208
DZA,2020,73.257
DZA,2019,75.682
DZA,2018,75.555
DZA,2017,75.431
DZA,2016,75.31
DZA,2015,75.159
DZA,2014,74.992
DZA,2013,74.809
DZA,2012,74.609
DZA,2011,74.383
DZA,2010,74.144
DZA,2009,73.871
DZA,2008,73.618
DZA,2007,73.346
DZA,2006,73.116
DZA,2005,72.836
DZA,2004,72.536
DZA,2003,71.906
DZA,2002,71.644
DZA,2001,71.025
DZA,2000,70.576
DZA,1999,70.088
DZA,1998,69.327
DZA,1997,68.859
DZA,1996,68.219
DZA,1995,67.691
DZA,1994,67.284
DZA,1993,67.797
DZA,1992,67.725
DZA,1991,67.692
DZA,1990,67.658
DZA,1989,67.461
DZA,1988,66.91
DZA,1987,66.13
DZA,1986,65.273
DZA,1985,64.155
DZA,1984,62.722
DZA,1983,61.251
DZA,1982,59.594
DZA,1981,57.422
DZA,1980,54.512
DZA,1979,52.409
DZA,1978,50.615
DZA,1977,49.249
DZA,1976,48.034
DZA,1975,46.921
DZA,1974,45.953
DZA,1973,45.102
DZA,1972,44.384
DZA,1971,43.782
DZA,1970,43.328
DZA,1969,42.991
DZA,1968,42.806
DZA,1967,42.731
DZA,1966,42.745
DZA,1965,42.846
DZA,1964,42.987
DZA,1963,43.143
DZA,1962,39.527
DZA,1961,40.792
DZA,1960,40.839
ASM,2024,72.992
ASM,2023,72.852
ASM,2022,72.752
ASM,2021,72.708
ASM,2020,72.672
ASM,2019,72.751
ASM,2018,72.794
ASM,2017,72.801
ASM,2016,72.64
ASM,2015,72.654
ASM,2014,72.687
ASM,2013,72.769
ASM,2012,72.709
ASM,2011,72.662
ASM,2010,72.587
ASM,2009,70.839
