iso3,year,net_migration
AFE,2025,114862
AFE,2024,-670014
AFE,2023,-989975
AFE,2022,-220428
AFE,2021,187508
AFE,2020,340127
AFE,2019,100706
AFE,2018,327087
AFE,2017,340934
AFE,2016,-799850
AFE,2015,151528
AFE,2014,-414158
AFE,2013,-91530
AFE,2012,-174216
AFE,2011,-712363
AFE,2010,-413050
AFE,2009,-479929
AFE,2008,-438568
AFE,2007,-530023
AFE,2006,-581942
AFE,2005,-568306
AFE,2004,-472255
AFE,2003,-517323
AFE,2002,-531528
AFE,2001,-592931
AFE,2000,-688533
AFE,1999,-471938
AFE,1998,-225429
AFE,1997,-760003
AFE,1996,-719150
AFE,1995,-283365
AFE,1994,-153050
AFE,1993,250990
AFE,1992,-208254
AFE,1991,-539801
AFE,1990,47976
AFE,1989,-143960
AFE,1988,-230030
AFE,1987,208800
AFE,1986,187193
AFE,1985,344728
AFE,1984,400951
AFE,1983,468187
AFE,1982,514670
AFE,1981,514791
AFE,1980,-72573
AFE,1979,109460
AFE,1978,609149
AFE,1977,-432016
AFE,1976,-60672
AFE,1975,33607
AFE,1974,54059
AFE,1973,208461
AFE,1972,-120416
AFE,1971,-91106
AFE,1970,-12781
AFE,1969,-18615
AFE,1968,37258
AFE,1967,28506
AFE,1966,5881
AFE,1965,7627
AFE,1964,22280
AFE,1963,-42809
AFE,1962,-56414
AFE,1961,-38646
AFE,1960,-102704
AFW,2025,-338771
AFW,2024,-10854
AFW,2023,314264
AFW,2022,-145638
AFW,2021,-205590
AFW,2020,-70880
AFW,2019,-286139
AFW,2018,-219801
AFW,2017,-140472
AFW,2016,-7032
AFW,2015,-297137
AFW,2014,-223029
AFW,2013,-407361
AFW,2012,-534476
AFW,2011,-240569
AFW,2010,-292290
AFW,2009,-216974
AFW,2008,-239683
AFW,2007,-196973
AFW,2006,-212215
AFW,2005,-127026
AFW,2004,-26768
AFW,2003,-74302
AFW,2002,4206
AFW,2001,-2037
AFW,2000,21109
AFW,1999,-118430
AFW,1998,128891
AFW,1997,133194
AFW,1996,-71428
AFW,1995,112264
AFW,1994,-74203
AFW,1993,-292287
AFW,1992,39350
AFW,1991,-43882
AFW,1990,-482218
AFW,1989,-28470
AFW,1988,-68552
AFW,1987,-125058
AFW,1986,-143659
AFW,1985,-180900
AFW,1984,-281239
AFW,1983,-657714
AFW,1982,43602
AFW,1981,-18826
AFW,1980,-94343
AFW,1979,-40641
AFW,1978,-56459
AFW,1977,-65322
AFW,1976,-141841
AFW,1975,-2052
AFW,1974,-1121
AFW,1973,-51583
AFW,1972,-56095
AFW,1971,-86862
AFW,1970,6280
AFW,1969,48124
AFW,1968,-38874
AFW,1967,-26682
AFW,1966,-49176
AFW,1965,-31079
AFW,1964,-48455
AFW,1963,-32310
AFW,1962,-31675
AFW,1961,-36991
AFW,1960,-759
ARB,2025,696991
ARB,2024,519176
ARB,2023,482824
ARB,2022,2684826
ARB,2021,471864
ARB,2020,-280925
ARB,2019,-51896
ARB,2018,-591361
ARB,2017,-994068
ARB,2016,132220
ARB,2015,364082
ARB,2014,575497
ARB,2013,735533
ARB,2012,577194
ARB,2011,223817
ARB,2010,156222
ARB,2009,504368
ARB,2008,872244
ARB,2007,1108146
ARB,2006,705074
ARB,2005,548882
ARB,2004,453391
ARB,2003,183300
ARB,2002,426252
ARB,2001,349835
ARB,2000,468890
ARB,1999,130302
ARB,1998,184835
ARB,1997,135363
ARB,1996,-157055
ARB,1995,52606
ARB,1994,-98479
ARB,1993,830289
ARB,1992,-49421
ARB,1991,-277703
ARB,1990,-1433172
ARB,1989,-197544
ARB,1988,-429193
ARB,1987,29819
ARB,1986,218394
ARB,1985,37797
ARB,1984,286793
ARB,1983,197650
ARB,1982,246342
ARB,1981,-11074
ARB,1980,554470
ARB,1979,844834
ARB,1978,720749
ARB,1977,186915
ARB,1976,331843
ARB,1975,391471
ARB,1974,-4921
ARB,1973,142378
ARB,1972,-58693
ARB,1971,-74130
ARB,1970,-44956
ARB,1969,7998
ARB,1968,6095
ARB,1967,-31282
ARB,1966,-50731
ARB,1965,-184588
ARB,1964,-160755
ARB,1963,-162496
ARB,1962,-120111
ARB,1961,-145513
ARB,1960,-78553
CSS,2025,-5294
CSS,2024,-4935
CSS,2023,-4680
CSS,2022,2737
CSS,2021,3618
CSS,2020,-2468
CSS,2019,-40925
CSS,2018,64330
CSS,2017,-4667
CSS,2016,-6612
CSS,2015,-6976
CSS,2014,-8043
CSS,2013,-6395
CSS,2012,-8556
CSS,2011,-14685
CSS,2010,-16092
CSS,2009,-15529
CSS,2008,-15915
CSS,2007,-15915
CSS,2006,-15868
CSS,2005,-16904
CSS,2004,-16581
CSS,2003,-12372
CSS,2002,-14717
CSS,2001,-17513
CSS,2000,-20051
CSS,1999,-19769
CSS,1998,-20367
CSS,1997,-21260
CSS,1996,-22034
CSS,1995,-22740
CSS,1994,-27678
CSS,1993,-32863
CSS,1992,-31271
CSS,1991,-35417
CSS,1990,-46122
CSS,1989,-43630
CSS,1988,-42602
CSS,1987,-45643
CSS,1986,-43598
CSS,1985,-42614
CSS,1984,-47448
CSS,1983,-48100
CSS,1982,-47563
CSS,1981,-46337
CSS,1980,-43209
CSS,1979,-45475
CSS,1978,-44274
CSS,1977,-43617
CSS,1976,-43286
CSS,1975,-43283
CSS,1974,-44267
CSS,1973,-43938
CSS,1972,-42902
CSS,1971,-28646
CSS,1970,-27501
CSS,1969,-21181
CSS,1968,-20891
CSS,1967,-22343
CSS,1966,-23748
CSS,1965,-24803
CSS,1964,-25030
CSS,1963,-21929
CSS,1962,-21343
CSS,1961,-24316
CSS,1960,-19498
CEB,2025,-568786
CEB,2024,-366194
CEB,2023,83236
CEB,2022,1701818
CEB,2021,36967
CEB,2020,79111
CEB,2019,36399
CEB,2018,-5347
CEB,2017,-105389
CEB,2016,-112017
CEB,2015,-70563
CEB,2014,-50434
CEB,2013,-53400
CEB,2012,-78436
CEB,2011,-141804
CEB,2010,-103905
CEB,2009,-173417
CEB,2008,-190262
CEB,2007,-169376
CEB,2006,-193602
CEB,2005,-195739
CEB,2004,-161032
CEB,2003,-122185
CEB,2002,-119846
CEB,2001,-130075
CEB,2000,-196924
CEB,1999,-200276
CEB,1998,-208220
CEB,1997,-224598
CEB,1996,-216086
CEB,1995,-228410
CEB,1994,-231755
CEB,1993,-256064
CEB,1992,-377048
CEB,1991,-256676
CEB,1990,-215793
CEB,1989,-250743
CEB,1988,-110371
CEB,1987,-53525
CEB,1986,-26749
CEB,1985,-62241
CEB,1984,-36311
CEB,1983,-18260
CEB,1982,-45311
CEB,1981,-42984
CEB,1980,-69940
CEB,1979,-42249
CEB,1978,-145581
CEB,1977,-56839
CEB,1976,2098
CEB,1975,-46208
CEB,1974,3913
CEB,1973,39568
CEB,1972,49682
CEB,1971,49990
CEB,1970,2460
CEB,1969,51875
CEB,1968,31277
CEB,1967,18789
CEB,1966,-41319
CEB,1965,-80692
CEB,1964,-74612
CEB,1963,-63792
CEB,1962,-82854
CEB,1961,-60353
CEB,1960,-58018
EAR,2025,-3033032
EAR,2024,-2919860
EAR,2023,-2806208
EAR,2022,-2358411
EAR,2021,-1734630
EAR,2020,-2085062
EAR,2019,-3682277
EAR,2018,-5097600
EAR,2017,-5100703
EAR,2016,-5251285
EAR,2015,-3634629
EAR,2014,-3657459
EAR,2013,-4477911
EAR,2012,-3905532
EAR,2011,-3435478
EAR,2010,-2324365
EAR,2009,-2549650
EAR,2008,-4140674
EAR,2007,-2261490
EAR,2006,-1654859
EAR,2005,-3054076
EAR,2004,-2045629
EAR,2003,-2529975
EAR,2002,-4416227
EAR,2001,-2270822
EAR,2000,-1662886
EAR,1999,-1974316
EAR,1998,-1382724
EAR,1997,-668291
EAR,1996,167717
EAR,1995,-859564
EAR,1994,-4220330
EAR,1993,-2672434
EAR,1992,-1587026
EAR,1991,-562975
EAR,1990,970041
EAR,1989,-582510
EAR,1988,-466682
EAR,1987,-209474
EAR,1986,-519191
EAR,1985,-283409
EAR,1984,-419187
EAR,1983,257376
EAR,1982,209750
EAR,1981,1918790
EAR,1980,-238420
EAR,1979,-599820
EAR,1978,-1649672
EAR,1977,-996916
EAR,1976,-630949
EAR,1975,-428134
EAR,1974,-732902
EAR,1973,-1227973
EAR,1972,-1055721
EAR,1971,-1476833
EAR,1970,-564509
EAR,1969,-1219889
EAR,1968,-1203615
EAR,1967,-336316
EAR,1966,-851063
EAR,1965,-601687
EAR,1964,-251670
EAR,1963,-114089
EAR,1962,-182048
EAR,1961,137395
EAR,1960,46031
EAS,2025,-37630
EAS,2024,-117023
EAS,2023,-326194
EAS,2022,98599
EAS,2021,-509583
EAS,2020,-27575
EAS,2019,87628
EAS,2018,495816
EAS,2017,638078
EAS,2016,661801
EAS,2015,-211377
EAS,2014,169408
EAS,2013,343334
EAS,2012,812582
EAS,2011,41658
EAS,2010,268353
EAS,2009,163850
EAS,2008,-83945
EAS,2007,-163075
EAS,2006,-348736
EAS,2005,-319362
EAS,2004,-1067145
EAS,2003,-958969
EAS,2002,-1009626
EAS,2001,-309339
EAS,2000,-65727
EAS,1999,-183876
EAS,1998,550618
EAS,1997,454195
EAS,1996,405997
EAS,1995,75959
EAS,1994,-343989
EAS,1993,-353094
EAS,1992,231993
EAS,1991,-737242
EAS,1990,508029
EAS,1989,-61486
EAS,1988,80767
EAS,1987,261004
EAS,1986,114101
EAS,1985,-51031
EAS,1984,-45360
EAS,1983,106912
EAS,1982,-140213
EAS,1981,-233412
EAS,1980,-366067
EAS,1979,-474468
EAS,1978,-261839
EAS,1977,-153066
EAS,1976,-297939
EAS,1975,-372704
EAS,1974,-422547
EAS,1973,-459620
EAS,1972,-357865
EAS,1971,-173644
EAS,1970,13533
EAS,1969,234885
EAS,1968,211383
EAS,1967,-195209
EAS,1966,-104386
EAS,1965,-245021
EAS,1964,-134097
EAS,1963,-435635
EAS,1962,-418395
EAS,1961,-345103
EAS,1960,-40790
EAP,2025,-408528
EAP,2024,-476494
EAP,2023,-746222
EAP,2022,-517633
EAP,2021,-369368
EAP,2020,-105012
EAP,2019,-645228
EAP,2018,-255673
EAP,2017,-126551
EAP,2016,-123501
EAP,2015,-1000530
EAP,2014,-528520
EAP,2013,-351854
EAP,2012,87349
EAP,2011,-655632
EAP,2010,-193531
EAP,2009,-375018
EAP,2008,-719190
EAP,2007,-763351
EAP,2006,-844152
EAP,2005,-644475
EAP,2004,-1296139
EAP,2003,-1130524
EAP,2002,-1199125
EAP,2001,-555874
EAP,2000,-180196
EAP,1999,-316682
EAP,1998,398779
EAP,1997,281314
EAP,1996,231802
EAP,1995,-58220
EAP,1994,-489036
EAP,1993,-456650
EAP,1992,144582
EAP,1991,-841889
EAP,1990,148408
EAP,1989,-421736
EAP,1988,-297012
EAP,1987,-86717
EAP,1986,-186311
EAP,1985,-87018
EAP,1984,30151
EAP,1983,157476
EAP,1982,-73720
EAP,1981,-188456
EAP,1980,-282759
EAP,1979,-366545
EAP,1978,-213628
EAP,1977,-109587
EAP,1976,-253698
EAP,1975,-366755
EAP,1974,-576145
EAP,1973,-557682
EAP,1972,-471824
EAP,1971,-416037
EAP,1970,-527102
EAP,1969,-189659
EAP,1968,-184423
EAP,1967,966792
EAP,1966,-275180
EAP,1965,-378976
EAP,1964,-1307774
EAP,1963,-117879
EAP,1962,-99033
EAP,1961,-91793
EAP,1960,-102382
TEA,2025,-405879
TEA,2024,-474156
TEA,2023,-744392
TEA,2022,-515800
TEA,2021,-367941
TEA,2020,-103641
TEA,2019,-642303
TEA,2018,-252614
TEA,2017,-123475
TEA,2016,-120419
TEA,2015,-997419
TEA,2014,-525554
TEA,2013,-349002
TEA,2012,89843
TEA,2011,-653286
TEA,2010,-191116
TEA,2009,-372591
TEA,2008,-716760
TEA,2007,-760937
TEA,2006,-841793
TEA,2005,-642081
TEA,2004,-1293512
TEA,2003,-1127935
TEA,2002,-1196542
TEA,2001,-553177
TEA,2000,-177170
TEA,1999,-313223
TEA,1998,402548
TEA,1997,285147
TEA,1996,235422
TEA,1995,-55069
TEA,1994,-488504
TEA,1993,-456651
TEA,1992,144654
TEA,1991,-841696
TEA,1990,148584
TEA,1989,-421599
TEA,1988,-296857
TEA,1987,-86565
TEA,1986,-186155
TEA,1985,-86831
TEA,1984,30306
TEA,1983,157615
TEA,1982,-73558
TEA,1981,-188292
TEA,1980,-282894
TEA,1979,-366788
TEA,1978,-213873
TEA,1977,-109847
TEA,1976,-253994
TEA,1975,-367051
TEA,1974,-576427
TEA,1973,-557660
TEA,1972,-471677
TEA,1971,-415881
TEA,1970,-527048
TEA,1969,-189736
TEA,1968,-184437
TEA,1967,966614
TEA,1966,-275230
TEA,1965,-378774
TEA,1964,-1307598
TEA,1963,-117739
TEA,1962,-98929
TEA,1961,-91738
TEA,1960,-102376
EMU,2025,102179
EMU,2024,455332
EMU,2023,1218918
EMU,2022,2659051
EMU,2021,935923
EMU,2020,1014285
EMU,2019,1313668
EMU,2018,1241997
EMU,2017,1046673
EMU,2016,906409
EMU,2015,1400654
EMU,2014,684778
