iso3,year,unemployment
AFG,2025,13.351
AFG,2024,13.687
AFG,2023,14.008
AFG,2022,14.1
AFG,2021,12.006
AFG,2020,11.71
AFG,2019,11.187
AFG,2018,11.192
AFG,2017,11.184
AFG,2016,10.116
AFG,2015,9.032
AFG,2014,7.915
AFG,2013,7.921
AFG,2012,7.875
AFG,2011,7.83
AFG,2010,7.809
AFG,2009,7.808
AFG,2008,7.879
AFG,2007,7.841
AFG,2006,7.897
AFG,2005,7.878
AFG,2004,7.794
AFG,2003,7.844
AFG,2002,7.867
AFG,2001,7.973
AFG,2000,7.897
AFG,1999,7.877
AFG,1998,7.869
AFG,1997,7.863
AFG,1996,7.878
AFG,1995,7.868
AFG,1994,7.883
AFG,1993,7.908
AFG,1992,7.958
AFG,1991,7.972
ALB,2025,10.926
ALB,2024,10.689
ALB,2023,10.669
ALB,2022,10.785
ALB,2021,11.474
ALB,2020,11.639
ALB,2019,11.466
ALB,2018,12.304
ALB,2017,13.616
ALB,2016,15.418
ALB,2015,17.193
ALB,2014,18.055
ALB,2013,15.866
ALB,2012,13.376
ALB,2011,13.481
ALB,2010,14.086
ALB,2009,13.674
ALB,2008,13.06
ALB,2007,15.966
ALB,2006,15.626
ALB,2005,15.966
ALB,2004,16.306
ALB,2003,16.985
ALB,2002,17.891
ALB,2001,18.57
ALB,2000,19.023
ALB,1999,20.835
ALB,1998,20.042
ALB,1997,16.872
ALB,1996,13.928
ALB,1995,14.607
ALB,1994,20.835
ALB,1993,25.251
ALB,1992,30.007
ALB,1991,10.304
DZA,2025,11.633
DZA,2024,11.655
DZA,2023,11.645
DZA,2022,12.382
DZA,2021,13.656
DZA,2020,14.08
DZA,2019,12.302
DZA,2018,12.112
DZA,2017,12.0
DZA,2016,10.202
DZA,2015,11.206
DZA,2014,10.207
DZA,2013,9.82
DZA,2012,10.97
DZA,2011,9.96
DZA,2010,9.96
DZA,2009,10.16
DZA,2008,11.33
DZA,2007,13.79
DZA,2006,12.27
DZA,2005,15.27
DZA,2004,17.65
DZA,2003,23.72
DZA,2002,25.9
DZA,2001,27.3
DZA,2000,29.77
DZA,1999,28.575
DZA,1998,26.85
